año_mes;provincia_zona;genero;rubro;Cantidad;remuneracion_Med;remuneracion_prom
39845;Mendoza;Masculino;Litio-Produccion;3;10000;9908,93
39845;Salta;Femenino;Litio-exploración y financiación;6;2459,08;2670,77
39845;Salta;Femenino;Litio-Produccion;16;7948,52;7457,23
39845;Salta;Masculino;Litio-exploración y financiación;29;2667,62;3191,46
39845;Salta;Masculino;Litio-Produccion;53;9363,58;7579,15
39873;Catamarca;Femenino;Litio-Produccion;10;4828,89;5467,39
39873;Catamarca;Masculino;Litio-Produccion;152;4922,67;5507,73
39873;Jujuy;Femenino;Litio-exploración y financiación;3;4885,68;5040,46
39873;Jujuy;Masculino;Litio-exploración y financiación;6;2212,86;2831,37
39873;Jujuy;Masculino;Litio-Produccion;4;1948,76;1948,76
39873;Mendoza;Masculino;Litio-Produccion;2;9863,15;9863,15
39873;Salta;Femenino;Litio-exploración y financiación;6;2370,19;2937,37
39873;Salta;Femenino;Litio-Produccion;16;3952,38;4812,25
39873;Salta;Masculino;Litio-exploración y financiación;30;2957,06;3651,58
39873;Salta;Masculino;Litio-Produccion;51;6338,17;6639,38
39904;Catamarca;Femenino;Litio-Produccion;10;4828,89;5467,39
39904;Catamarca;Masculino;Litio-Produccion;149;4835,94;5362,03
39904;Jujuy;Femenino;Litio-exploración y financiación;3;4885,68;4706,74
39904;Jujuy;Masculino;Litio-exploración y financiación;6;2411,71;3159,59
39904;Jujuy;Masculino;Litio-Produccion;4;1948,76;1948,76
39904;Mendoza;Masculino;Litio-Produccion;2;9863,11;9863,11
39904;Salta;Femenino;Litio-exploración y financiación;6;2447,64;2991,54
39904;Salta;Femenino;Litio-Produccion;16;4357,75;5338,38
39904;Salta;Masculino;Litio-exploración y financiación;37;2590,84;3151,06
39904;Salta;Masculino;Litio-Produccion;49;6338,17;6367,01
39934;Catamarca;Femenino;Litio-Produccion;10;5110,54;5599,51
39934;Catamarca;Masculino;Litio-Produccion;145;5828,14;6040,84
39934;Jujuy;Femenino;Litio-exploración y financiación;3;4885,68;4681,7
39934;Jujuy;Masculino;Litio-exploración y financiación;6;2411,71;3117,96
39934;Jujuy;Masculino;Litio-Produccion;4;1948,76;1948,76
39934;Mendoza;Masculino;Litio-Produccion;2;9863,11;9863,11
39934;Salta;Femenino;Litio-exploración y financiación;6;2447,64;4000,46
39934;Salta;Femenino;Litio-Produccion;16;4357,75;5184,79
39934;Salta;Masculino;Litio-exploración y financiación;37;2737,22;3692,54
39934;Salta;Masculino;Litio-Produccion;49;5815,63;6445,27
39965;Catamarca;Femenino;Litio-Produccion;10;7377,23;8114,16
39965;Catamarca;Masculino;Litio-Produccion;145,5;7918,16;8438,87
39965;Jujuy;Femenino;Litio-exploración y financiación;3;7084,24;6882,43
39965;Jujuy;Masculino;Litio-exploración y financiación;8;3496,98;4692,18
39965;Jujuy;Masculino;Litio-Produccion;7,5;2825,7;2603,59
39965;Mendoza;Masculino;Litio-Produccion;2,5;14103,69;12493,99
39965;Salta;Femenino;Litio-exploración y financiación;5;3231,77;4770,45
39965;Salta;Femenino;Litio-Produccion;16;6318,74;7701,67
39965;Salta;Masculino;Litio-exploración y financiación;37;4010,79;5291,11
39965;Salta;Masculino;Litio-Produccion;48;9217,69;9455,23
39995;Catamarca;Femenino;Litio-Produccion;10;5087,75;5592,43
39995;Catamarca;Masculino;Litio-Produccion;146;5108,85;5600,5
39995;Jujuy;Femenino;Litio-exploración y financiación;3;4885,68;4811,31
39995;Jujuy;Masculino;Litio-exploración y financiación;10;2573,35;3306,8
39995;Jujuy;Masculino;Litio-Produccion;11;1586,27;1739,88
39995;Mendoza;Masculino;Litio-Produccion;3;9726,68;7785,51
39995;Salta;Femenino;Litio-exploración y financiación;4;2151,36;2224,23
39995;Salta;Femenino;Litio-Produccion;16;4357,75;5438,2
39995;Salta;Masculino;Litio-exploración y financiación;37;2788,02;3605,54
39995;Salta;Masculino;Litio-Produccion;47;6870,75;6599,65
40026;Catamarca;Femenino;Litio-Produccion;10;5345,58;5748,33
40026;Catamarca;Masculino;Litio-Produccion;145;5347,86;5779,86
